sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4857;pms5003;3630;6.540;3.297;2023-12-01T07:50:26.569678+00:00;P0;23.00
4858;DHT22;3630;6.540;3.297;2023-12-01T07:50:39.793643+00:00;humidity;75.60
4858;DHT22;3630;6.540;3.297;2023-12-01T07:50:39.793643+00:00;temperature;33.40
4857;pms5003;3630;6.540;3.297;2023-12-01T07:51:31.494559+00:00;P2;31.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:51:31.494559+00:00;P1;34.00
4857;pms5003;3630;6.540;3.297;2023-12-01T07:51:31.494559+00:00;P0;20.00
4857;pms5003;3630;6.540;3.297;2023-12-07T05:41:57.915062+00:00;P2;78.00
4857;pms5003;3630;6.540;3.297;2023-12-07T05:41:57.915062+00:00;P1;84.00
4857;pms5003;3630;6.540;3.297;2023-12-07T05:41:57.915062+00:00;P0;52.00
4858;DHT22;3630;6.540;3.297;2023-12-07T05:42:10.458573+00:00;humidity;97.70
4858;DHT22;3630;6.540;3.297;2023-12-07T05:42:10.458573+00:00;temperature;26.30
4857;pms5003;3630;6.540;3.297;2023-12-07T07:37:19.479945+00:00;P2;63.17
4857;pms5003;3630;6.540;3.297;2023-12-07T07:37:19.479945+00:00;P1;71.67
4857;pms5003;3630;6.540;3.297;2023-12-07T07:37:19.479945+00:00;P0;42.42
4858;DHT22;3630;6.540;3.297;2023-12-07T07:37:32.671353+00:00;humidity;88.70
4858;DHT22;3630;6.540;3.297;2023-12-07T07:37:32.671353+00:00;temperature;28.80
4857;pms5003;3630;6.540;3.297;2023-12-07T07:38:23.619933+00:00;P2;56.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:38:23.619933+00:00;P1;70.00
4857;pms5003;3630;6.540;3.297;2023-12-07T07:38:23.619933+00:00;P0;37.00
4858;DHT22;3630;6.540;3.297;2023-12-07T07:38:36.737503+00:00;humidity;87.00
4858;DHT22;3630;6.540;3.297;2023-12-07T07:38:36.737503+00:00;temperature;29.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:39:27.455718+00:00;P2;57.33
4857;pms5003;3630;6.540;3.297;2023-12-07T07:39:27.455718+00:00;P1;69.33
4857;pms5003;3630;6.540;3.297;2023-12-07T07:39:27.455718+00:00;P0;40.00
4858;DHT22;3630;6.540;3.297;2023-12-07T07:39:40.576215+00:00;humidity;86.10
4858;DHT22;3630;6.540;3.297;2023-12-07T07:39:40.576215+00:00;temperature;29.80
4857;pms5003;3630;6.540;3.297;2023-12-07T07:40:31.273440+00:00;P2;56.75
4857;pms5003;3630;6.540;3.297;2023-12-07T07:40:31.273440+00:00;P1;70.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:40:31.273440+00:00;P0;36.75
4858;DHT22;3630;6.540;3.297;2023-12-07T07:40:44.394965+00:00;humidity;84.60
4858;DHT22;3630;6.540;3.297;2023-12-07T07:40:44.394965+00:00;temperature;30.10
4857;pms5003;3630;6.540;3.297;2023-12-07T07:41:35.131436+00:00;P2;49.00
4857;pms5003;3630;6.540;3.297;2023-12-07T07:41:35.131436+00:00;P1;62.00
4857;pms5003;3630;6.540;3.297;2023-12-07T07:41:35.131436+00:00;P0;32.00
4857;pms5003;3630;6.540;3.297;2023-12-07T07:47:36.917321+00:00;P2;49.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:47:36.917321+00:00;P1;59.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:47:36.917321+00:00;P0;32.00
4858;DHT22;3630;6.540;3.297;2023-12-07T07:47:50.496224+00:00;humidity;82.40
4858;DHT22;3630;6.540;3.297;2023-12-07T07:47:50.496224+00:00;temperature;30.80
4857;pms5003;3630;6.540;3.297;2023-12-07T07:48:41.857076+00:00;P2;45.50
4857;pms5003;3630;6.540;3.297;2023-12-07T07:48:41.857076+00:00;P1;55.00
4857;pms5003;3630;6.540;3.297;2023-12-07T07:48:41.857076+00:00;P0;30.50
4857;pms5003;3630;6.540;3.297;2023-12-08T05:35:18.240745+00:00;P2;86.25
4857;pms5003;3630;6.540;3.297;2023-12-08T05:35:18.240745+00:00;P1;90.62
4857;pms5003;3630;6.540;3.297;2023-12-08T05:35:18.240745+00:00;P0;57.50
4858;DHT22;3630;6.540;3.297;2023-12-08T05:35:31.293421+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:35:31.293421+00:00;temperature;26.70
4857;pms5003;3630;6.540;3.297;2023-12-08T05:36:22.916222+00:00;P2;73.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:36:22.916222+00:00;P1;79.33
4857;pms5003;3630;6.540;3.297;2023-12-08T05:36:22.916222+00:00;P0;48.33
4858;DHT22;3630;6.540;3.297;2023-12-08T05:36:36.091926+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:36:36.091926+00:00;temperature;26.90
4857;pms5003;3630;6.540;3.297;2023-12-08T05:37:26.971460+00:00;P2;85.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:37:26.971460+00:00;P1;87.33
4857;pms5003;3630;6.540;3.297;2023-12-08T05:37:26.971460+00:00;P0;60.67
4858;DHT22;3630;6.540;3.297;2023-12-08T05:37:40.283485+00:00;humidity;99.80
4858;DHT22;3630;6.540;3.297;2023-12-08T05:37:40.283485+00:00;temperature;27.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:38:31.714235+00:00;P2;85.40
4857;pms5003;3630;6.540;3.297;2023-12-08T05:38:31.714235+00:00;P1;86.80
4857;pms5003;3630;6.540;3.297;2023-12-08T05:38:31.714235+00:00;P0;60.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:38:44.800016+00:00;humidity;99.20
4858;DHT22;3630;6.540;3.297;2023-12-08T05:38:44.800016+00:00;temperature;27.20
4857;pms5003;3630;6.540;3.297;2023-12-08T05:39:35.673824+00:00;P2;83.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:39:35.673824+00:00;P1;92.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:39:35.673824+00:00;P0;58.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:39:48.851325+00:00;humidity;98.70
4858;DHT22;3630;6.540;3.297;2023-12-08T05:39:48.851325+00:00;temperature;27.30
4857;pms5003;3630;6.540;3.297;2023-12-08T05:40:39.676013+00:00;P2;70.75
4857;pms5003;3630;6.540;3.297;2023-12-08T05:40:39.676013+00:00;P1;77.75
4857;pms5003;3630;6.540;3.297;2023-12-08T05:40:39.676013+00:00;P0;48.50
4858;DHT22;3630;6.540;3.297;2023-12-08T05:40:53.136173+00:00;humidity;98.20
4858;DHT22;3630;6.540;3.297;2023-12-08T05:40:53.136173+00:00;temperature;27.40
4857;pms5003;3630;6.540;3.297;2023-12-08T05:41:45.476531+00:00;P2;70.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:41:45.476531+00:00;P1;77.25
4857;pms5003;3630;6.540;3.297;2023-12-08T05:41:45.476531+00:00;P0;47.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:41:58.656132+00:00;humidity;97.60
